NL.tsv	5-1	512-516	Want	O
NL.tsv	5-2	517-519	de	O
NL.tsv	5-3	520-532	Hollandtsche	O
NL.tsv	5-4	533-545	Bevelhebbers	O
NL.tsv	5-5	546-554	begosten	O
NL.tsv	5-6	555-559	zeer	O
NL.tsv	5-7	560-562	te	O
NL.tsv	5-8	563-570	klaagen	O
NL.tsv	5-9	571-575	over	O
NL.tsv	5-10	576-579	den	O
NL.tsv	5-11	580-586	vuilen	B-Quality
NL.tsv	5-12	596-597	+	O
NL.tsv	5-13	597-602	Stank	O
NL.tsv	5-14	603-605	in	O
NL.tsv	5-15	606-608	de	O
NL.tsv	5-16	609-621	Hollandtsche	O
NL.tsv	5-17	624-629	stank	B-Smell_Word
NL.tsv	5-18	629-630	,	O
NL.tsv	5-19	631-634	die	O
NL.tsv	5-20	635-637	de	B-Smell_Source
NL.tsv	5-21	638-647	Franschen	I-Smell_Source
NL.tsv	5-22	647-648	,	O
NL.tsv	5-23	649-653	door	O
NL.tsv	5-24	654-659	hunne	O
NL.tsv	5-25	660-674	wanhaaventheit	O
NL.tsv	5-26	674-675	,	O
NL.tsv	5-27	676-678	of	O
NL.tsv	5-28	679-683	door	O
NL.tsv	5-29	684-690	gebrek	O
NL.tsv	5-30	691-694	van	O
NL.tsv	5-31	696-708	verschooning	O
NL.tsv	5-32	708-709	,	O
NL.tsv	5-33	710-713	van	O
NL.tsv	5-34	714-718	zich	O
NL.tsv	5-35	719-724	gaven	O
NL.tsv	5-36	724-725	,	O
NL.tsv	5-37	726-728	en	O
NL.tsv	5-38	729-731	de	O
NL.tsv	5-39	732-740	scheepen	O
NL.tsv	5-40	741-749	vervulde	O
NL.tsv	5-41	750-752	en	O
NL.tsv	5-42	753-762	vervuilde	O

NL.tsv	6-1	764-767	Men	O
NL.tsv	6-2	768-771	kon	O
NL.tsv	6-3	772-773	'	O
NL.tsv	6-4	773-774	t	O
NL.tsv	6-5	776-778	by	O
NL.tsv	6-6	779-782	hen	O
NL.tsv	6-7	783-787	niet	O
NL.tsv	6-8	788-794	harden	O
NL.tsv	6-9	794-795	,	O
NL.tsv	6-10	796-798	en	O
NL.tsv	6-11	799-806	vreesde	O
NL.tsv	6-12	806-807	,	O
NL.tsv	6-13	808-811	met	O
NL.tsv	6-14	812-818	reeden	O
NL.tsv	6-15	818-819	,	O
NL.tsv	6-16	820-823	dat	O
NL.tsv	6-17	824-826	de	O
NL.tsv	6-18	827-832	bange	B-Quality
NL.tsv	6-19	833-838	lucht	B-Smell_Word
NL.tsv	6-20	839-851	besmettelyke	O
NL.tsv	6-21	854-863	schreepen	O

NL.tsv	7-1	868-876	ziektens	O
NL.tsv	7-2	877-880	zou	O
NL.tsv	7-3	881-893	voortbrengen	O

NL.tsv	8-1	895-898	Ook	O
NL.tsv	8-2	899-905	laagen	O
NL.tsv	8-3	906-910	alre	O
NL.tsv	8-4	911-915	vier	O
NL.tsv	8-5	916-925	matroozen	O
NL.tsv	8-6	925-926	,	O
NL.tsv	8-7	927-929	in	O
NL.tsv	8-8	930-931	'	O
NL.tsv	8-9	931-932	t	O
NL.tsv	8-10	933-938	schip	O
NL.tsv	8-11	939-942	van	O
NL.tsv	8-12	943-951	Kapitein	O
NL.tsv	8-13	953-957	Ooms	O
NL.tsv	8-14	957-958	,	O
NL.tsv	8-15	959-962	aan	O
NL.tsv	8-16	963-966	den	O
NL.tsv	8-17	967-973	rooden	O
NL.tsv	8-18	974-978	loop	O
NL.tsv	8-19	978-979	,	O
NL.tsv	8-20	980-983	een	O
NL.tsv	8-21	984-990	quaale	O
NL.tsv	8-22	990-991	,	O
NL.tsv	8-23	992-995	die	O
NL.tsv	8-24	996-1005	veeltydts	O
NL.tsv	8-25	1006-1014	doodtlyk	O
NL.tsv	8-26	1015-1017	is	O
NL.tsv	8-27	1017-1018	,	O
NL.tsv	8-28	1019-1021	en	O
NL.tsv	8-29	1022-1030	geweldig	O
NL.tsv	8-30	1032-1042	voortslaat	O

NL.tsv	9-1	1044-1045	'	O
NL.tsv	9-2	1045-1046	T	O
NL.tsv	9-3	1047-1050	was	O
NL.tsv	9-4	1051-1054	dan	O
NL.tsv	9-5	1055-1058	ten	O
NL.tsv	9-6	1059-1068	hooghsten	O
NL.tsv	9-7	1069-1070	+	O
NL.tsv	9-8	1070-1079	gevaarlyk	O
NL.tsv	9-9	1080-1083	met	O
NL.tsv	9-10	1084-1086	al	O
NL.tsv	9-11	1087-1090	dat	O
NL.tsv	9-12	1091-1095	volk	O
NL.tsv	9-13	1096-1102	langer	O
NL.tsv	9-14	1103-1106	zee	O
NL.tsv	9-15	1107-1109	te	O
NL.tsv	9-16	1110-1116	houden	O

NL.tsv	10-1	1120-1123	Des	O
NL.tsv	10-2	1124-1136	anderendaghs	O
NL.tsv	10-3	1137-1141	quam	O
NL.tsv	10-4	1142-1145	men	O
NL.tsv	10-5	1146-1148	op	O
NL.tsv	10-6	1149-1151	de	O
NL.tsv	10-7	1152-1157	reede	O
NL.tsv	10-8	1158-1161	van	O
NL.tsv	10-9	1162-1171	Barcelona	O
NL.tsv	10-10	1171-1172	,	O
NL.tsv	10-11	1173-1175	en	O
NL.tsv	10-12	1176-1178	de	O
NL.tsv	10-13	1179-1185	Ruiter	O
NL.tsv	10-14	1186-1191	zondt	O
NL.tsv	10-15	1197-1198	+	O
NL.tsv	10-16	1199-1201	De	O
NL.tsv	10-17	1202-1208	Ruiter	O
NL.tsv	10-18	1209-1213	komt	O
NL.tsv	10-19	1214-1218	voor	O
NL.tsv	10-20	1221-1230	terstondt	O
NL.tsv	10-21	1231-1234	den	O
NL.tsv	10-22	1235-1236	+	O
NL.tsv	10-23	1237-1244	Fiskaal	O

NL.tsv	1-1	2-5	Als	O
NL.tsv	1-2	6-9	men	O
NL.tsv	1-3	10-17	gedurig	O
NL.tsv	1-4	18-20	de	O
NL.tsv	1-5	21-27	tydige	O
NL.tsv	1-6	27-28	’	O
NL.tsv	1-7	28-30	er	O
NL.tsv	1-8	31-39	uitplukt	O
NL.tsv	1-9	39-40	;	O
NL.tsv	1-10	41-44	kan	O
NL.tsv	1-11	45-48	men	O
NL.tsv	1-12	49-51	ze	O
NL.tsv	1-13	52-57	enige	O
NL.tsv	1-14	58-63	weken	O
NL.tsv	1-15	64-67	aan	O
NL.tsv	1-16	68-71	een	O
NL.tsv	1-17	72-76	eten	O
NL.tsv	1-18	76-77	;	O
NL.tsv	1-19	78-82	maar	O
NL.tsv	1-20	83-85	zy	O
NL.tsv	1-21	86-89	zyn	O
NL.tsv	1-22	90-94	niet	O
NL.tsv	1-23	95-102	bekwaam	O
NL.tsv	1-24	103-105	om	O
NL.tsv	1-25	106-115	verzonden	O
NL.tsv	1-26	116-118	te	O
NL.tsv	1-27	119-125	worden	O
NL.tsv	1-28	125-126	,	O
NL.tsv	1-29	127-131	alzo	O
NL.tsv	1-30	132-134	zy	O
NL.tsv	1-31	135-141	binnen	O
NL.tsv	1-32	142-146	vier	O
NL.tsv	1-33	147-149	en	O
NL.tsv	1-34	150-157	twintig	O
NL.tsv	1-35	158-162	uren	O
NL.tsv	1-36	163-168	beurs	O
NL.tsv	1-37	169-172	zyn	O

NL.tsv	2-1	176-178	De	O
NL.tsv	2-2	179-185	Franse	O
NL.tsv	2-3	186-196	Kaneelpeer	O
NL.tsv	2-4	197-199	is	O
NL.tsv	2-5	200-206	karlig	O
NL.tsv	2-6	206-207	,	O
NL.tsv	2-7	208-211	vol	O
NL.tsv	2-8	212-218	geurig	B-Smell_Word
NL.tsv	2-9	219-222	sap	B-Smell_Source
NL.tsv	2-10	222-223	;	O
NL.tsv	2-11	224-227	van	O
NL.tsv	2-12	228-233	boven	O
NL.tsv	2-13	234-237	wat	O
NL.tsv	2-14	238-247	dikronder	O
NL.tsv	2-15	247-248	,	O
NL.tsv	2-16	249-252	als	O
NL.tsv	2-17	253-255	de	O
NL.tsv	2-18	256-261	grawe	O
NL.tsv	2-19	262-273	Suiker-peer	O
NL.tsv	2-20	273-274	,	O
NL.tsv	2-21	275-278	ook	O
NL.tsv	2-22	279-285	korter	O
NL.tsv	2-23	286-288	en	O
NL.tsv	2-24	289-299	schielyker	O
NL.tsv	2-25	300-311	spitspuntig	O
NL.tsv	2-26	312-315	tot	O
NL.tsv	2-27	316-318	de	O
NL.tsv	2-28	319-324	steel	O

NL.tsv	3-1	326-334	Rypzynde	O
NL.tsv	3-2	335-337	is	O
NL.tsv	3-3	338-340	zy	O
